ID1,ID2,EdgeType,Score,Annotation
53,67,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=4.955367084437967
56,74,MS1 annotation,12,[M+H]+ [M+Na]+ dm/z=4.954281437245527
56,89,MS1 annotation,12,[M+H]+ [M+4H+N+Na]2+ dm/z=441.839168104648479
56,161,MS1 annotation,12,[M+H]+ [M+2H]2+ dm/z=450.342828530931286
56,234,MS1 annotation,11,[M+H]+ [M+H+Na]2+ dm/z=439.355866616707147
56,312,MS1 annotation,11,[M+H]+ [M+2Na]2+ dm/z=439.348089515116612
56,519,MS1 annotation,12,[M+H]+ [M+2H]2+ dm/z=461.355620803588238
59,90,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=22.012852389017326
62,86,MS1 annotation,2,[M+Na]+ [M-H-O]+ dm/z=39.993174222892719
64,188,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.984164718365094
65,105,MS1 annotation,5,[M+H]+ [M-H-O]+ dm/z=18.011583257487018
65,305,MS1 annotation,5,[M+H]+ [M-3H-2O]+ dm/z=36.021059632576907
65,457,MS1 annotation,5,[M+H]+ [M-H-O]+ dm/z=18.014057904940046
66,189,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.981500975845393
69,805,MS1 annotation,3,[M+H]+ [M+H]+ dm/z=17.04238695850438
69,1157,MS1 annotation,3,[M+H]+ [M+H]+ dm/z=17.050808684369258
72,1246,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.911060433040518
73,252,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.98146161637402
74,89,MS1 annotation,12,[M+Na]+ [M+4H+N+Na]2+ dm/z=446.793449541894006
74,161,MS1 annotation,12,[M+Na]+ [M+2H]2+ dm/z=455.297109968176812
74,234,MS1 annotation,11,[M+Na]+ [M+H+Na]2+ dm/z=444.310148053952673
74,312,MS1 annotation,11,[M+Na]+ [M+2Na]2+ dm/z=444.302370952362139
74,519,MS1 annotation,12,[M+Na]+ [M+2H]2+ dm/z=466.309902240833765
76,106,MS1 annotation,3,[M+2H]2+ [M+2H]2+ dm/z=22.010505644479508
76,124,MS1 annotation,2,[M+2H]2+ [M+2H]2+ dm/z=22.013176186613634
